ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns),n^2,logn,nlogn,SortedTree n^2,SortedTree logn,SortedTree nlogn,DescendingTree n^2,DescendingTree logn,DescendingTree nlogn,RandomTree n^2,RandomTree Logn,RandomTree nlogn
148,39740,41160,2760,21904,2.170261715,321.1987339,1.814280497,18311.15562,123.7240244,1.879108839,18965.45458,128.1449634,0.126004383,1271.736022,8.592810957
149,39900,42020,3570,22201,2.173186268,323.804754,1.797216342,18360.1381,123.2224033,1.892707536,19335.66423,129.7695586,0.160803567,1642.749198,11.0251624
150,40540,42280,3180,22500,2.176091259,326.4136889,1.801777778,18629.7334,124.1982226,1.879111111,19429.33221,129.5288814,0.141333333,1461.335772,9.74223848
151,41520,43010,3120,22801,2.178976947,329.025519,1.820972764,19054.8138,126.1908199,1.886320775,19738.62094,130.719344,0.136836104,1431.864621,9.482547156
152,42310,44700,2900,23104,2.181843588,331.6402254,1.831284626,19391.85753,127.57801,1.934729917,20487.26144,134.7846147,0.125519391,1329.151189,8.74441572
153,42170,44420,3570,23409,2.184691431,334.2577889,1.801443889,19302.4971,126.1601117,1.897560767,20332.39082,132.8914433,0.152505447,1634.098047,10.68037939
154,42910,44740,2950,23716,2.187520721,336.878191,1.809327037,19615.81419,127.3754168,1.886490133,20452.3777,132.8076474,0.124388598,1348.558655,8.75687438
155,43550,45470,3160,24025,2.190331698,339.5014132,1.812695109,19882.83329,128.2763438,1.892611863,20759.41285,133.9316958,0.131529657,1442.703862,9.307766852
156,43970,45930,3010,24336,2.193124598,342.1274373,1.806788297,20049.02049,128.5193621,1.887327416,20942.72256,134.2482215,0.123685076,1372.471041,8.797891287
157,44460,46570,3170,24649,2.195899652,344.7562454,1.803724289,20246.82683,128.9606805,1.889326139,21207.70863,135.0809467,0.128605623,1443.599664,9.194902317
158,45280,47220,3330,24964,2.198657087,347.3878197,1.813811889,20594.38931,130.3442361,1.891523794,21476.74609,135.9287727,0.133392085,1514.560874,9.585828319
159,45660,47980,3340,25281,2.201397124,350.0221428,1.806099442,20741.37351,130.44889,1.897867964,21795.24969,137.0770421,0.132115027,1517.218299,9.542253452
160,46290,48460,3280,25600,2.204119983,352.6591972,1.808203125,21001.57903,131.2598689,1.89296875,21986.09893,137.4131183,0.128125,1488.122256,9.300764097
